x,y,z,x_ro,y_ro,z_ro
-0.9048270524660195,-0.42577929156507266,-1,0,0,0
-0.8763066800438636,-0.4817536741017154,-1,0,0,0
-0.844327925502015,-0.5358267949789968,-1,0,0,0
-0.8090169943749472,-0.5877852522924734,-1,0,0,0
-0.770513242775789,-0.63742398974869,-1,0,0,0
-0.7289686274214116,-0.6845471059286887,-1,0,0,0
-0.6845471059286886,-0.7289686274214116,-1,0,0,0
-0.6374239897486895,-0.7705132427757894,-1,0,0,0
-0.5877852522924732,-0.8090169943749473,-1,0,0,0
-0.5358267949789963,-0.8443279255020153,-1,0,0,0
-0.48175367410171527,-0.8763066800438636,-1,0,0,0
-0.42577929156507216,-0.9048270524660198,-1,0,0,0
-0.3681245526846778,-0.9297764858882515,-1,0,0,0
-0.30901699437494756,-0.9510565162951535,-1,0,0,0
-0.24868988716485443,-0.9685831611286312,-1,0,0,0
-0.18738131458572463,-0.9822872507286887,-1,0,0,0
-0.12533323356430373,-0.9921147013144779,-1,0,0,0
-0.06279051952931321,-0.9980267284282716,-1,0,0,0
-1.8369701987210297e-16,-1.0,-1,0,0,0
0.06279051952931372,-0.9980267284282716,-1,0,0,0
0.12533323356430423,-0.9921147013144779,-1,0,0,0
0.18738131458572513,-0.9822872507286886,-1,0,0,0
0.24868988716485493,-0.9685831611286311,-1,0,0,0
0.30901699437494723,-0.9510565162951536,-1,0,0,0
0.36812455268467825,-0.9297764858882512,-1,0,0,0
0.4257792915650726,-0.9048270524660196,-1,0,0,0
0.4817536741017157,-0.8763066800438634,-1,0,0,0
0.5358267949789968,-0.844327925502015,-1,0,0,0
0.5877852522924737,-0.809016994374947,-1,0,0,0
0.63742398974869,-0.770513242775789,-1,0,0,0
0.6845471059286886,-0.7289686274214116,-1,0,0,0
0.7289686274214119,-0.6845471059286883,-1,0,0,0
0.7705132427757894,-0.6374239897486896,-1,0,0,0
0.8090169943749478,-0.5877852522924726,-1,0,0,0
0.8443279255020152,-0.5358267949789963,-1,0,0,0
0.8763066800438636,-0.4817536741017153,-1,0,0,0
0.9048270524660197,-0.4257792915650722,-1,0,0,0
0.9297764858882515,-0.36812455268467786,-1,0,0,0
0.9510565162951538,-0.3090169943749468,-1,0,0,0
0.9685831611286312,-0.2486898871648545,-1,0,0,0
0.9822872507286887,-0.18738131458572468,-1,0,0,0
0.9921147013144779,-0.1253332335643038,-1,0,0,0
0.9980267284282716,-0.06279051952931326,-1,0,0,0
1.0,6.432490598706546e-16,-1,0,0,0
